State,County,Total Cases,New Cases,Total Deaths,New Deaths,Date,Latitude,Longitude
California,Alameda,71,0,0,0,3/22/2020,37.64629437,-121.8929271
California,Alpine,0,0,0,0,3/22/2020,38.59678594,-119.8223594
California,Amador,1,0,0,0,3/22/2020,38.44583082,-120.65696
California,Butte,1,0,0,0,3/22/2020,39.66727762,-121.6005252
California,Calaveras,2,0,0,0,3/22/2020,38.20537103,-120.552913
California,Colusa,0,0,0,0,3/22/2020,39.17881957,-122.2331726
California,Contra Costa,61,0,1,0,3/22/2020,37.91923498,-121.9289527
California,Del Norte,0,0,0,0,3/22/2020,41.74228275,-123.8974063
California,El Dorado,0,0,0,0,3/22/2020,38.77965956,-120.5233166
California,Fresno,6,0,0,0,3/22/2020,36.75733899,-119.6466953
California,Glenn,0,0,0,0,3/22/2020,39.59875897,-122.3938452
California,Humboldt,2,0,0,0,3/22/2020,40.69923009,-123.876044
California,Imperial,6,0,0,0,3/22/2020,33.0393082,-115.3669042
California,Inyo,0,0,0,0,3/22/2020,36.51112084,-117.4111978
California,Kern,5,0,0,0,3/22/2020,35.34329425,-118.7277796
California,Kings,0,0,0,0,3/22/2020,36.07409056,-119.8159973
California,Lake,0,0,0,0,3/22/2020,39.10124298,-122.7536244
California,Lassen,0,0,0,0,3/22/2020,40.67311306,-120.5935099
California,Los Angeles,407,0,5,0,3/22/2020,34.30828379,-118.2282411
California,Madera,3,0,0,0,3/22/2020,37.21513971,-119.7665589
California,Marin,38,0,0,0,3/22/2020,38.07122463,-122.7210631
California,Mariposa,0,0,0,0,3/22/2020,37.57978556,-119.9073334
California,Mendocino,1,0,0,0,3/22/2020,39.4381191,-123.3911313
California,Merced,0,0,0,0,3/22/2020,37.18922369,-120.7209035
California,Modoc,0,0,0,0,3/22/2020,41.58965602,-120.7244817
California,Mono,1,0,0,0,3/22/2020,37.93899289,-118.8872409
California,Monterey,11,0,1,0,3/22/2020,36.21862405,-121.2413397
California,Napa,1,0,0,0,3/22/2020,38.50735751,-122.332839
California,Nevada,1,0,0,0,3/22/2020,39.30394768,-120.7627281
California,Orange,95,0,0,0,3/22/2020,33.70147516,-117.7645998
California,Placer,12,0,1,0,3/22/2020,39.06167234,-120.7240569
California,Plumas,0,0,0,0,3/22/2020,40.00355989,-120.8395236
California,Riverside,29,0,6,0,3/22/2020,33.74314981,-115.9933578
California,Sacramento,53,0,3,0,3/22/2020,38.45106826,-121.3425374
California,San Benito,5,0,1,0,3/22/2020,36.60308176,-121.069975
California,San Bernardino,17,0,0,0,3/22/2020,34.84060306,-116.1774685
California,San Diego,155,0,0,0,3/22/2020,33.03484597,-116.7365326
California,San Joaquin,31,0,2,0,3/22/2020,37.93433732,-121.2730061
California,San Luis Obispo,27,0,0,0,3/22/2020,35.38822029,-120.4039028
California,San Mateo,117,0,1,0,3/22/2020,37.4228808,-122.3275546
California,Santa Barbara,13,0,0,0,3/22/2020,34.65329488,-120.0188492
California,Santa Clara,263,0,8,0,3/22/2020,37.23104908,-121.6970462
California,Santa Cruz,15,0,0,0,3/22/2020,37.05580291,-122.0066524
California,Shasta,1,0,0,0,3/22/2020,40.76391419,-122.0396884
California,Sierra,0,0,0,0,3/22/2020,39.57713498,-120.5200701
California,Siskiyou,2,0,0,0,3/22/2020,41.59198861,-122.5407434
California,Solano,13,0,0,0,3/22/2020,38.26827353,-121.9357113
California,Sonoma,22,0,1,0,3/22/2020,38.52746429,-122.8862506
California,Stanislaus,5,0,0,0,3/22/2020,37.55862499,-120.9970722
California,Sutter,0,0,0,0,3/22/2020,39.03417539,-121.6945899
California,Tehama,0,0,0,0,3/22/2020,40.12570935,-122.2370171
California,Trinity,0,0,0,0,3/22/2020,40.6491767,-123.114713
California,Tulare,12,0,0,0,3/22/2020,36.22026558,-118.8020203
California,Tuolumne,0,0,0,0,3/22/2020,38.02644018,-119.9525093
California,Ventura,25,0,0,0,3/22/2020,34.44465746,-119.0910613
California,Yolo,6,0,0,0,3/22/2020,38.68278902,-121.9018288
California,Yuba,2,0,0,0,3/22/2020,39.26255932,-121.3535644
Indiana,Adams,1,0,0,0,3/22/2020,40.7457653,-84.93671406
Indiana,Allen,4,0,0,0,3/22/2020,41.09194313,-85.06800636
Indiana,Bartholomew,5,0,0,0,3/22/2020,39.20744865,-85.89558181
Indiana,Benton,0,0,0,0,3/22/2020,40.60626947,-87.31093999
Indiana,Blackford,0,0,0,0,3/22/2020,40.47388153,-85.32499702
Indiana,Boone,3,0,0,0,3/22/2020,40.0509304,-86.46841646
Indiana,Brown,0,0,0,0,3/22/2020,39.19605589,-86.22868909
Indiana,Carroll,0,0,0,0,3/22/2020,40.5807832,-86.56198812
Indiana,Cass,0,0,0,0,3/22/2020,40.76135835,-86.34830753
Indiana,Clark,4,0,0,0,3/22/2020,38.48015445,-85.70510334
Indiana,Clay,0,0,0,0,3/22/2020,39.39561833,-87.11723506
Indiana,Clinton,0,0,0,0,3/22/2020,40.30319754,-86.47277257
Indiana,Crawford,0,0,0,0,3/22/2020,38.28814402,-86.44518825
Indiana,Daviess,0,0,0,0,3/22/2020,38.70186039,-87.07185406
Indiana,Dearborn,0,0,0,0,3/22/2020,39.14647946,-84.97333539
Indiana,Decatur,0,0,0,0,3/22/2020,39.30712658,-85.50087166
Indiana,DeKalb,0,0,0,0,3/22/2020,41.39804622,-84.99906934
Indiana,Delaware,2,0,1,0,3/22/2020,40.22787247,-85.39732772
Indiana,Dubois,1,0,0,0,3/22/2020,38.36597551,-86.8792417
Indiana,Elkhart,4,0,0,0,3/22/2020,41.59761169,-85.85875695
Indiana,Fayette,1,0,0,0,3/22/2020,39.63684962,-85.17797541
Indiana,Floyd,3,0,0,0,3/22/2020,38.32117957,-85.90385377
Indiana,Fountain,0,0,0,0,3/22/2020,40.12361933,-87.24217689
Indiana,Franklin,4,0,0,0,3/22/2020,39.4142482,-85.06062647
Indiana,Fulton,0,0,0,0,3/22/2020,41.0469907,-86.26252745
Indiana,Gibson,0,0,0,0,3/22/2020,38.30393723,-87.58054938
Indiana,Grant,2,0,0,0,3/22/2020,40.51587228,-85.65468702
Indiana,Greene,1,0,0,0,3/22/2020,39.03630547,-86.96223202
Indiana,Hamilton,18,0,0,0,3/22/2020,40.07306535,-86.05244729
Indiana,Hancock,2,0,0,0,3/22/2020,39.82304555,-85.77566351
Indiana,Harrison,0,0,0,0,3/22/2020,38.19467379,-86.10948271
Indiana,Hendricks,8,0,0,0,3/22/2020,39.76719009,-86.51037283
Indiana,Henry,0,0,0,0,3/22/2020,39.93029017,-85.39625719
Indiana,Howard,6,0,0,0,3/22/2020,40.48527731,-86.11351892
Indiana,Huntington,0,0,0,0,3/22/2020,40.82907273,-85.48822092
Indiana,Jackson,0,0,0,0,3/22/2020,38.9091582,-86.03851889
Indiana,Jasper,0,0,0,0,3/22/2020,41.02078733,-87.11553319
Indiana,Jay,0,0,0,0,3/22/2020,40.43781032,-85.00576229
Indiana,Jefferson,0,0,0,0,3/22/2020,38.78576239,-85.43633383
Indiana,Jennings,1,0,0,0,3/22/2020,38.99588883,-85.62710784
Indiana,Johnson,12,0,1,0,3/22/2020,39.48994426,-86.10149107
Indiana,Knox,0,0,0,0,3/22/2020,38.68861576,-87.4194665
Indiana,Kosciusko,0,0,0,0,3/22/2020,41.24521668,-85.86312322
Indiana,LaGrange,0,0,0,0,3/22/2020,41.64232188,-85.42674232
Indiana,Lake,10,0,0,0,3/22/2020,41.41874274,-87.38277575
Indiana,LaPorte,2,0,0,0,3/22/2020,41.54366008,-86.74072188
Indiana,Lawrence,0,0,0,0,3/22/2020,38.84112637,-86.48361629
Indiana,Madison,2,0,0,0,3/22/2020,40.16143691,-85.71964711
Indiana,Marion,82,0,3,0,3/22/2020,39.78163624,-86.13826325
Indiana,Marshall,0,0,0,0,3/22/2020,41.32467367,-86.26185087
Indiana,Martin,0,0,0,0,3/22/2020,38.7099921,-86.80373186
Indiana,Miami,1,0,0,0,3/22/2020,40.76940965,-86.04525048
Indiana,Monroe,1,0,0,0,3/22/2020,39.16130004,-86.52414358
Indiana,Montgomery,0,0,0,0,3/22/2020,40.04034823,-86.89335024
Indiana,Morgan,1,0,0,0,3/22/2020,39.47899078,-86.44573375
Indiana,Newton,0,0,0,0,3/22/2020,40.95610449,-87.39635768
Indiana,Noble,1,0,0,0,3/22/2020,41.39672484,-85.41966713
Indiana,Ohio,0,0,0,0,3/22/2020,38.955305,-84.96515993
Indiana,Orange,0,0,0,0,3/22/2020,38.5411892,-86.49523093
Indiana,Owen,1,0,0,0,3/22/2020,39.31145587,-86.83900724
Indiana,Parke,0,0,0,0,3/22/2020,39.77202286,-87.20375833
Indiana,Perry,0,0,0,0,3/22/2020,38.07809328,-86.63741946
Indiana,Pike,0,0,0,0,3/22/2020,38.40112197,-87.23574907
Indiana,Porter,0,0,0,0,3/22/2020,41.45986947,-87.06848888
Indiana,Posey,0,0,0,0,3/22/2020,38.02097333,-87.86480429
Indiana,Pulaski,0,0,0,0,3/22/2020,41.04166107,-86.69890683
Indiana,Putnam,1,0,0,0,3/22/2020,39.66437981,-86.84517605
Indiana,Randolph,0,0,0,0,3/22/2020,40.15734772,-85.01139319
Indiana,Ripley,1,0,0,0,3/22/2020,39.10235626,-85.26212744
Indiana,Rush,0,0,0,0,3/22/2020,39.62002287,-85.4655599
Indiana,St. Joseph,8,0,0,0,3/22/2020,41.61756781,-86.29040834
Indiana,Scott,1,0,1,0,3/22/2020,38.68672078,-85.74627859
Indiana,Shelby,1,0,0,0,3/22/2020,39.52305623,-85.7915857
Indiana,Spencer,0,0,0,0,3/22/2020,38.01519732,-87.0079644
Indiana,Starke,0,0,0,0,3/22/2020,41.27890281,-86.64686895
Indiana,Steuben,0,0,0,0,3/22/2020,41.64423868,-85.00101094
Indiana,Sullivan,0,0,0,0,3/22/2020,39.08952258,-87.41414469
Indiana,Switzerland,0,0,0,0,3/22/2020,38.82767338,-85.03022429
Indiana,Tippecanoe,2,0,0,0,3/22/2020,40.38872739,-86.89413959
Indiana,Tipton,1,0,0,0,3/22/2020,40.31123252,-86.05234925
Indiana,Union,0,0,0,0,3/22/2020,39.62550777,-84.92497066
Indiana,Vanderburgh,1,0,0,0,3/22/2020,38.02658833,-87.58763124
Indiana,Vermillion,0,0,0,0,3/22/2020,39.8523352,-87.46160542
Indiana,Vigo,2,0,0,0,3/22/2020,39.42944561,-87.39169027
Indiana,Wabash,0,0,0,0,3/22/2020,40.84704239,-85.79328272
Indiana,Warren,0,0,0,0,3/22/2020,40.34728141,-87.35602659
Indiana,Warrick,0,0,0,0,3/22/2020,38.08922676,-87.2716085
Indiana,Washington,1,0,0,0,3/22/2020,38.60219804,-86.1049363
Indiana,Wayne,1,0,0,0,3/22/2020,39.8633444,-85.01044989
Indiana,Wells,1,0,0,0,3/22/2020,40.72934187,-85.22132966
Indiana,White,0,0,0,0,3/22/2020,40.74911165,-86.86492015
